country;sector;f
Belgium;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Belgium;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Belgium;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Belgium;Hotels and Restaurants;0
Belgium;Inland Transport;0
Belgium;Water Transport;0
Belgium;Air Transport;0
Belgium;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Belgium;Post and Telecommunications;0
Belgium;Financial Intermediation;0
Belgium;Real Estate Activities;0
Belgium;Renting of M&Eq and Other Business Activities;0
Belgium;"Public Admin and Defence; Compulsory Social Security";0
Belgium;Education;0
Belgium;Health and Social Work;0
Belgium;Other Community, Social and Personal Services;0
Belgium;Private Households with Employed Persons;0
Bulgaria;Agriculture, Hunting, Forestry and Fishing;0
Bulgaria;Mining and Quarrying;0
Bulgaria;Food, Beverages and Tobacco;0
Bulgaria;Textiles and Textile Products;0
Bulgaria;Leather, Leather and Footwear;0
Bulgaria;Wood and Products of Wood and Cork;0
Bulgaria;Pulp, Paper, Paper , Printing and Publishing;0
Bulgaria;Coke, Refined Petroleum and Nuclear Fuel;0
Bulgaria;Chemicals and Chemical Products;0
Bulgaria;Rubber and Plastics;0
Bulgaria;Other Non-Metallic Mineral;0
Bulgaria;Basic Metals and Fabricated Metal;0
Bulgaria;Machinery, Nec;0
Bulgaria;Electrical and Optical Equipment;0
Bulgaria;Transport Equipment;0
Bulgaria;"Manufacturing, Nec; Recycling";0
Bulgaria;Electricity, Gas and Water Supply;0
Bulgaria;Construction;0
Bulgaria;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Bulgaria;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Bulgaria;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Bulgaria;Hotels and Restaurants;0
Bulgaria;Inland Transport;0
Bulgaria;Water Transport;0
Bulgaria;Air Transport;0
Bulgaria;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Bulgaria;Post and Telecommunications;0
Bulgaria;Financial Intermediation;0
Bulgaria;Real Estate Activities;0
Bulgaria;Renting of M&Eq and Other Business Activities;0
Bulgaria;"Public Admin and Defence; Compulsory Social Security";0
Bulgaria;Education;0
Bulgaria;Health and Social Work;0
Bulgaria;Other Community, Social and Personal Services;0
Bulgaria;Private Households with Employed Persons;0
Brazil;Agriculture, Hunting, Forestry and Fishing;0
Brazil;Mining and Quarrying;0
Brazil;Food, Beverages and Tobacco;0
Brazil;Textiles and Textile Products;0
Brazil;Leather, Leather and Footwear;0
Brazil;Wood and Products of Wood and Cork;0
Brazil;Pulp, Paper, Paper , Printing and Publishing;0
Brazil;Coke, Refined Petroleum and Nuclear Fuel;0
Brazil;Chemicals and Chemical Products;0
Brazil;Rubber and Plastics;0
Brazil;Other Non-Metallic Mineral;0
Brazil;Basic Metals and Fabricated Metal;0
Brazil;Machinery, Nec;0
Brazil;Electrical and Optical Equipment;0
Brazil;Transport Equipment;0
Brazil;"Manufacturing, Nec; Recycling";0
Brazil;Electricity, Gas and Water Supply;0
Brazil;Construction;0
Brazil;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Brazil;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Brazil;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Brazil;Hotels and Restaurants;0
Brazil;Inland Transport;0
Brazil;Water Transport;0
Brazil;Air Transport;0
Brazil;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Brazil;Post and Telecommunications;0
Brazil;Financial Intermediation;0
Brazil;Real Estate Activities;0
Brazil;Renting of M&Eq and Other Business Activities;0
Brazil;"Public Admin and Defence; Compulsory Social Security";0
Brazil;Education;0
Brazil;Health and Social Work;0
Brazil;Other Community, Social and Personal Services;0
Brazil;Private Households with Employed Persons;0
Canada;Agriculture, Hunting, Forestry and Fishing;0
Canada;Mining and Quarrying;0
Canada;Food, Beverages and Tobacco;0
Canada;Textiles and Textile Products;0
Canada;Leather, Leather and Footwear;0
Canada;Wood and Products of Wood and Cork;0
Canada;Pulp, Paper, Paper , Printing and Publishing;0
Canada;Coke, Refined Petroleum and Nuclear Fuel;0
Canada;Chemicals and Chemical Products;0
Canada;Rubber and Plastics;0
Canada;Other Non-Metallic Mineral;0
Canada;Basic Metals and Fabricated Metal;0
Canada;Machinery, Nec;0
Canada;Electrical and Optical Equipment;0
Canada;Transport Equipment;0
Canada;"Manufacturing, Nec; Recycling";0
Canada;Electricity, Gas and Water Supply;0
Canada;Construction;0
Canada;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Canada;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Canada;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Canada;Hotels and Restaurants;0
Canada;Inland Transport;0
Canada;Water Transport;0
Canada;Air Transport;0
Canada;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Canada;Post and Telecommunications;0
Canada;Financial Intermediation;0
Canada;Real Estate Activities;0
Canada;Renting of M&Eq and Other Business Activities;0
Canada;"Public Admin and Defence; Compulsory Social Security";0
Canada;Education;0
Canada;Health and Social Work;0
Canada;Other Community, Social and Personal Services;0
Canada;Private Households with Employed Persons;0
China;Agriculture, Hunting, Forestry and Fishing;0
China;Mining and Quarrying;0
China;Food, Beverages and Tobacco;0
China;Textiles and Textile Products;0
China;Leather, Leather and Footwear;0
China;Wood and Products of Wood and Cork;0
China;Pulp, Paper, Paper , Printing and Publishing;0
China;Coke, Refined Petroleum and Nuclear Fuel;0
China;Chemicals and Chemical Products;0
China;Rubber and Plastics;0
China;Other Non-Metallic Mineral;0
China;Basic Metals and Fabricated Metal;0
China;Machinery, Nec;0
China;Electrical and Optical Equipment;0
China;Transport Equipment;0
China;"Manufacturing, Nec; Recycling";0
China;Electricity, Gas and Water Supply;0
China;Construction;0
China;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
China;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
China;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
China;Hotels and Restaurants;0
China;Inland Transport;0
China;Water Transport;0
China;Air Transport;0
China;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
China;Post and Telecommunications;0
China;Financial Intermediation;0
China;Real Estate Activities;0
China;Renting of M&Eq and Other Business Activities;0
China;"Public Admin and Defence; Compulsory Social Security";0
China;Education;0
China;Health and Social Work;0
China;Other Community, Social and Personal Services;0
China;Private Households with Employed Persons;0
Cyprus;Agriculture, Hunting, Forestry and Fishing;0
Cyprus;Mining and Quarrying;0
Cyprus;Food, Beverages and Tobacco;0
Cyprus;Textiles and Textile Products;0
Cyprus;Leather, Leather and Footwear;0
Cyprus;Wood and Products of Wood and Cork;0
Cyprus;Pulp, Paper, Paper , Printing and Publishing;0
Cyprus;Coke, Refined Petroleum and Nuclear Fuel;0
Cyprus;Chemicals and Chemical Products;0
Cyprus;Rubber and Plastics;0
Cyprus;Other Non-Metallic Mineral;0
Cyprus;Basic Metals and Fabricated Metal;0
Cyprus;Machinery, Nec;0
Cyprus;Electrical and Optical Equipment;0
Cyprus;Transport Equipment;0
Cyprus;"Manufacturing, Nec; Recycling";0
Cyprus;Electricity, Gas and Water Supply;0
Cyprus;Construction;0
Cyprus;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Cyprus;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Cyprus;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Cyprus;Hotels and Restaurants;0
Cyprus;Inland Transport;0
Cyprus;Water Transport;0
Cyprus;Air Transport;0
Cyprus;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Cyprus;Post and Telecommunications;0
Cyprus;Financial Intermediation;0
Cyprus;Real Estate Activities;0
Cyprus;Renting of M&Eq and Other Business Activities;0
Cyprus;"Public Admin and Defence; Compulsory Social Security";0
Cyprus;Education;0
Cyprus;Health and Social Work;0
Cyprus;Other Community, Social and Personal Services;0
Cyprus;Private Households with Employed Persons;0
Czech Republic;Agriculture, Hunting, Forestry and Fishing;0
Czech Republic;Mining and Quarrying;0
Czech Republic;Food, Beverages and Tobacco;0
Czech Republic;Textiles and Textile Products;0
Czech Republic;Leather, Leather and Footwear;0
Czech Republic;Wood and Products of Wood and Cork;0
Czech Republic;Pulp, Paper, Paper , Printing and Publishing;0
Czech Republic;Coke, Refined Petroleum and Nuclear Fuel;0
Czech Republic;Chemicals and Chemical Products;0
Czech Republic;Rubber and Plastics;0
Czech Republic;Other Non-Metallic Mineral;0
Czech Republic;Basic Metals and Fabricated Metal;0
Czech Republic;Machinery, Nec;0
Czech Republic;Electrical and Optical Equipment;0
Czech Republic;Transport Equipment;0
Czech Republic;"Manufacturing, Nec; Recycling";0
Czech Republic;Electricity, Gas and Water Supply;0
Czech Republic;Construction;0
Czech Republic;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Czech Republic;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Czech Republic;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Czech Republic;Hotels and Restaurants;0
Czech Republic;Inland Transport;0
Czech Republic;Water Transport;0
Czech Republic;Air Transport;0
Czech Republic;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Czech Republic;Post and Telecommunications;0
Czech Republic;Financial Intermediation;0
Czech Republic;Real Estate Activities;0
Czech Republic;Renting of M&Eq and Other Business Activities;0
Czech Republic;"Public Admin and Defence; Compulsory Social Security";0
Czech Republic;Education;0
Czech Republic;Health and Social Work;0
Czech Republic;Other Community, Social and Personal Services;0
Czech Republic;Private Households with Employed Persons;0
Deutschland;Agriculture, Hunting, Forestry and Fishing;0
Deutschland;Mining and Quarrying;0
Deutschland;Food, Beverages and Tobacco;0
Deutschland;Textiles and Textile Products;0
Deutschland;Leather, Leather and Footwear;0
Deutschland;Wood and Products of Wood and Cork;0
Deutschland;Pulp, Paper, Paper , Printing and Publishing;0
Deutschland;Coke, Refined Petroleum and Nuclear Fuel;0
Deutschland;Chemicals and Chemical Products;0
Deutschland;Rubber and Plastics;0
Deutschland;Other Non-Metallic Mineral;0
Deutschland;Basic Metals and Fabricated Metal;0
Deutschland;Machinery, Nec;0
Deutschland;Electrical and Optical Equipment;0
Deutschland;Transport Equipment;0
Deutschland;"Manufacturing, Nec; Recycling";0
Deutschland;Electricity, Gas and Water Supply;0
Deutschland;Construction;0
Deutschland;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Deutschland;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Deutschland;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Deutschland;Hotels and Restaurants;0
Deutschland;Inland Transport;0
Deutschland;Water Transport;0
Deutschland;Air Transport;0
Deutschland;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Deutschland;Post and Telecommunications;0
Deutschland;Financial Intermediation;0
Deutschland;Real Estate Activities;0
Deutschland;Renting of M&Eq and Other Business Activities;0
Deutschland;"Public Admin and Defence; Compulsory Social Security";0
Deutschland;Education;0
Deutschland;Health and Social Work;0
Deutschland;Other Community, Social and Personal Services;0
Deutschland;Private Households with Employed Persons;0
Denmark;Agriculture, Hunting, Forestry and Fishing;0
Denmark;Mining and Quarrying;0
Denmark;Food, Beverages and Tobacco;0
Denmark;Textiles and Textile Products;0
Denmark;Leather, Leather and Footwear;0
Denmark;Wood and Products of Wood and Cork;0
Denmark;Pulp, Paper, Paper , Printing and Publishing;0
Denmark;Coke, Refined Petroleum and Nuclear Fuel;0
Denmark;Chemicals and Chemical Products;0
Denmark;Rubber and Plastics;0
Denmark;Other Non-Metallic Mineral;0
Denmark;Basic Metals and Fabricated Metal;0
Denmark;Machinery, Nec;0
Denmark;Electrical and Optical Equipment;0
Denmark;Transport Equipment;0
Denmark;"Manufacturing, Nec; Recycling";0
Denmark;Electricity, Gas and Water Supply;0
Denmark;Construction;0
Denmark;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Denmark;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Denmark;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Denmark;Hotels and Restaurants;0
Denmark;Inland Transport;0
Denmark;Water Transport;0
Denmark;Air Transport;0
Denmark;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Denmark;Post and Telecommunications;0
Denmark;Financial Intermediation;0
Denmark;Real Estate Activities;0
Denmark;Renting of M&Eq and Other Business Activities;0
Denmark;"Public Admin and Defence; Compulsory Social Security";0
Denmark;Education;0
Denmark;Health and Social Work;0
Denmark;Other Community, Social and Personal Services;0
Denmark;Private Households with Employed Persons;0
Spain;Agriculture, Hunting, Forestry and Fishing;0
Spain;Mining and Quarrying;0
Spain;Food, Beverages and Tobacco;0
Spain;Textiles and Textile Products;0
Spain;Leather, Leather and Footwear;0
Spain;Wood and Products of Wood and Cork;0
Spain;Pulp, Paper, Paper , Printing and Publishing;0
Spain;Coke, Refined Petroleum and Nuclear Fuel;0
Spain;Chemicals and Chemical Products;0
Spain;Rubber and Plastics;0
Spain;Other Non-Metallic Mineral;0
Spain;Basic Metals and Fabricated Metal;0
Spain;Machinery, Nec;0
Spain;Electrical and Optical Equipment;0
Spain;Transport Equipment;0
Spain;"Manufacturing, Nec; Recycling";0
Spain;Electricity, Gas and Water Supply;0
Spain;Construction;0
Spain;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Spain;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Spain;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Spain;Hotels and Restaurants;0
Spain;Inland Transport;0
Spain;Water Transport;0
Spain;Air Transport;0
Spain;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Spain;Post and Telecommunications;0
Spain;Financial Intermediation;0
Spain;Real Estate Activities;0
Spain;Renting of M&Eq and Other Business Activities;0
Spain;"Public Admin and Defence; Compulsory Social Security";0
Spain;Education;0
Spain;Health and Social Work;0
Spain;Other Community, Social and Personal Services;0
Spain;Private Households with Employed Persons;0
Estonia;Agriculture, Hunting, Forestry and Fishing;0
Estonia;Mining and Quarrying;0
Estonia;Food, Beverages and Tobacco;0
Estonia;Textiles and Textile Products;0
Estonia;Leather, Leather and Footwear;0
Estonia;Wood and Products of Wood and Cork;0
Estonia;Pulp, Paper, Paper , Printing and Publishing;0
Estonia;Coke, Refined Petroleum and Nuclear Fuel;0
Estonia;Chemicals and Chemical Products;0
Estonia;Rubber and Plastics;0
Estonia;Other Non-Metallic Mineral;0
Estonia;Basic Metals and Fabricated Metal;0
Estonia;Machinery, Nec;0
Estonia;Electrical and Optical Equipment;0
Estonia;Transport Equipment;0
Estonia;"Manufacturing, Nec; Recycling";0
Estonia;Electricity, Gas and Water Supply;0
Estonia;Construction;0
Estonia;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Estonia;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Estonia;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Estonia;Hotels and Restaurants;0
Estonia;Inland Transport;0
Estonia;Water Transport;0
Estonia;Air Transport;0
Estonia;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Estonia;Post and Telecommunications;0
Estonia;Financial Intermediation;0
Estonia;Real Estate Activities;0
Estonia;Renting of M&Eq and Other Business Activities;0
Estonia;"Public Admin and Defence; Compulsory Social Security";0
Estonia;Education;0
Estonia;Health and Social Work;0
Estonia;Other Community, Social and Personal Services;0
Estonia;Private Households with Employed Persons;0
Finland;Agriculture, Hunting, Forestry and Fishing;0
Finland;Mining and Quarrying;0
Finland;Food, Beverages and Tobacco;0
Finland;Textiles and Textile Products;0
Finland;Leather, Leather and Footwear;0
Finland;Wood and Products of Wood and Cork;0
Finland;Pulp, Paper, Paper , Printing and Publishing;0
Finland;Coke, Refined Petroleum and Nuclear Fuel;0
Finland;Chemicals and Chemical Products;0
Finland;Rubber and Plastics;0
Finland;Other Non-Metallic Mineral;0
Finland;Basic Metals and Fabricated Metal;0
Finland;Machinery, Nec;0
Finland;Electrical and Optical Equipment;0
Finland;Transport Equipment;0
Finland;"Manufacturing, Nec; Recycling";0
Finland;Electricity, Gas and Water Supply;0
Finland;Construction;0
Finland;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Finland;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Finland;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Finland;Hotels and Restaurants;0
Finland;Inland Transport;0
Finland;Water Transport;0
Finland;Air Transport;0
Finland;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Finland;Post and Telecommunications;0
Finland;Financial Intermediation;0
Finland;Real Estate Activities;0
Finland;Renting of M&Eq and Other Business Activities;0
Finland;"Public Admin and Defence; Compulsory Social Security";0
Finland;Education;0
Finland;Health and Social Work;0
Finland;Other Community, Social and Personal Services;0
Finland;Private Households with Employed Persons;0
France;Agriculture, Hunting, Forestry and Fishing;0
France;Mining and Quarrying;0
France;Food, Beverages and Tobacco;0
France;Textiles and Textile Products;0
France;Leather, Leather and Footwear;0
France;Wood and Products of Wood and Cork;0
France;Pulp, Paper, Paper , Printing and Publishing;0
France;Coke, Refined Petroleum and Nuclear Fuel;0
France;Chemicals and Chemical Products;0
France;Rubber and Plastics;0
France;Other Non-Metallic Mineral;0
France;Basic Metals and Fabricated Metal;0
France;Machinery, Nec;0
France;Electrical and Optical Equipment;0
France;Transport Equipment;0
France;"Manufacturing, Nec; Recycling";0
France;Electricity, Gas and Water Supply;0
France;Construction;0
France;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
France;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
France;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
France;Hotels and Restaurants;0
France;Inland Transport;0
France;Water Transport;0
France;Air Transport;0
France;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
France;Post and Telecommunications;0
France;Financial Intermediation;0
France;Real Estate Activities;0
France;Renting of M&Eq and Other Business Activities;0
France;"Public Admin and Defence; Compulsory Social Security";0
France;Education;0
France;Health and Social Work;0
France;Other Community, Social and Personal Services;0
France;Private Households with Employed Persons;0
United Kingdom;Agriculture, Hunting, Forestry and Fishing;0
United Kingdom;Mining and Quarrying;0
United Kingdom;Food, Beverages and Tobacco;0
United Kingdom;Textiles and Textile Products;0
United Kingdom;Leather, Leather and Footwear;0
United Kingdom;Wood and Products of Wood and Cork;0
United Kingdom;Pulp, Paper, Paper , Printing and Publishing;0
United Kingdom;Coke, Refined Petroleum and Nuclear Fuel;0
United Kingdom;Chemicals and Chemical Products;0
United Kingdom;Rubber and Plastics;0
United Kingdom;Other Non-Metallic Mineral;0
United Kingdom;Basic Metals and Fabricated Metal;0
United Kingdom;Machinery, Nec;0
United Kingdom;Electrical and Optical Equipment;0
United Kingdom;Transport Equipment;0
United Kingdom;"Manufacturing, Nec; Recycling";0
United Kingdom;Electricity, Gas and Water Supply;0
United Kingdom;Construction;0
United Kingdom;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
United Kingdom;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
United Kingdom;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
United Kingdom;Hotels and Restaurants;0
United Kingdom;Inland Transport;0
United Kingdom;Water Transport;0
United Kingdom;Air Transport;0
United Kingdom;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
United Kingdom;Post and Telecommunications;0
United Kingdom;Financial Intermediation;0
United Kingdom;Real Estate Activities;0
United Kingdom;Renting of M&Eq and Other Business Activities;0
United Kingdom;"Public Admin and Defence; Compulsory Social Security";0
United Kingdom;Education;0
United Kingdom;Health and Social Work;0
United Kingdom;Other Community, Social and Personal Services;0
United Kingdom;Private Households with Employed Persons;0
Greece;Agriculture, Hunting, Forestry and Fishing;0
Greece;Mining and Quarrying;0
Greece;Food, Beverages and Tobacco;0
Greece;Textiles and Textile Products;0
Greece;Leather, Leather and Footwear;0
Greece;Wood and Products of Wood and Cork;0
Greece;Pulp, Paper, Paper , Printing and Publishing;0
Greece;Coke, Refined Petroleum and Nuclear Fuel;0
Greece;Chemicals and Chemical Products;0
Greece;Rubber and Plastics;0
Greece;Other Non-Metallic Mineral;0
Greece;Basic Metals and Fabricated Metal;0
Greece;Machinery, Nec;0
Greece;Electrical and Optical Equipment;0
Greece;Transport Equipment;0
Greece;"Manufacturing, Nec; Recycling";0
Greece;Electricity, Gas and Water Supply;0
Greece;Construction;0
Greece;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Greece;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Greece;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Greece;Hotels and Restaurants;0
Greece;Inland Transport;0
Greece;Water Transport;0
Greece;Air Transport;0
Greece;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Greece;Post and Telecommunications;0
Greece;Financial Intermediation;0
Greece;Real Estate Activities;0
Greece;Renting of M&Eq and Other Business Activities;0
Greece;"Public Admin and Defence; Compulsory Social Security";0
Greece;Education;0
Greece;Health and Social Work;0
Greece;Other Community, Social and Personal Services;0
Greece;Private Households with Employed Persons;0
Hungary;Agriculture, Hunting, Forestry and Fishing;0
Hungary;Mining and Quarrying;0
Hungary;Food, Beverages and Tobacco;0
Hungary;Textiles and Textile Products;0
Hungary;Leather, Leather and Footwear;0
Hungary;Wood and Products of Wood and Cork;0
Hungary;Pulp, Paper, Paper , Printing and Publishing;0
Hungary;Coke, Refined Petroleum and Nuclear Fuel;0
Hungary;Chemicals and Chemical Products;0
Hungary;Rubber and Plastics;0
Hungary;Other Non-Metallic Mineral;0
Hungary;Basic Metals and Fabricated Metal;0
Hungary;Machinery, Nec;0
Hungary;Electrical and Optical Equipment;0
Hungary;Transport Equipment;0
Hungary;"Manufacturing, Nec; Recycling";0
Hungary;Electricity, Gas and Water Supply;0
Hungary;Construction;0
Hungary;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Hungary;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Hungary;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Hungary;Hotels and Restaurants;0
Hungary;Inland Transport;0
Hungary;Water Transport;0
Hungary;Air Transport;0
Hungary;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Hungary;Post and Telecommunications;0
Hungary;Financial Intermediation;0
Hungary;Real Estate Activities;0
Hungary;Renting of M&Eq and Other Business Activities;0
Hungary;"Public Admin and Defence; Compulsory Social Security";0
Hungary;Education;0
Hungary;Health and Social Work;0
Hungary;Other Community, Social and Personal Services;0
Hungary;Private Households with Employed Persons;0
Indonesia;Agriculture, Hunting, Forestry and Fishing;0
Indonesia;Mining and Quarrying;0
Indonesia;Food, Beverages and Tobacco;0
Indonesia;Textiles and Textile Products;0
Indonesia;Leather, Leather and Footwear;0
Indonesia;Wood and Products of Wood and Cork;0
Indonesia;Pulp, Paper, Paper , Printing and Publishing;0
